,,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
1124,19300818,-1.31,-0.44,-1.17,-0.54,-0.17,-0.41,-0.67,-0.06,-0.67,-0.25
1125,19300819,0.95,0.97,0.9,0.58,1.12,1.14,1.1,0.46,0.7,0.96
1126,19300820,0.56,0.8,0.62,0.74,0.99,0.63,0.67,0.5,0.09,0.27
1127,19300821,-0.23,-1.47,-0.77,-0.4,-0.33,-1.16,-0.57,-0.58,-0.64,-0.61
1128,19300822,0.07,0.02,-0.6,0.54,0.69,-1.44,0.28,0.48,0.15,0.23
1129,19300823,1.04,0.5,1.63,0.7,0.68,1.08,0.17,0.47,0.25,0.55
1130,19300825,-0.17,-0.77,-1.16,-0.46,-1.07,-1.04,-1.16,-0.62,-0.29,-1.27
1131,19300826,2.33,0.47,1.71,1.41,1.75,0.63,1.37,1.32,0.92,0.74
1132,19300827,-0.72,-0.18,0.55,1.13,0.96,0.59,0.38,0.57,0.6,0.16
1133,19300828,0.99,-0.85,0.28,-0.37,-0.68,0.43,-0.09,-0.14,-0.24,-0.28
1134,19300829,2.4,1.5,1.41,1.51,1.45,1.26,1.7,1.4,1,1.3
1135,19300902,0.75,0.55,0.41,0.78,0.75,-0.66,0.05,-0.12,-0.1,0.54
1136,19300903,-1.25,-0.19,-1.91,-1.68,-1.13,-0.72,-0.95,-1.07,-0.42,-1.17
1137,19300904,-1.36,-0.76,-0.34,-1.02,-0.84,-0.43,-0.83,-0.37,-0.6,-0.17
1138,19300905,3.03,2.1,1.99,1.64,2.06,1.34,1.18,1.22,1.17,1.04
1139,19300906,0.6,1.69,2.45,1.37,1.2,1.51,1,1.24,1.07,0.88
1140,19300908,1.02,-0.05,0.19,-0.75,0.39,0.13,0.31,-0.01,-0.09,-0.06
1141,19300909,0.14,0.4,0.8,0.91,1.34,0.58,0.06,0.32,0.19,0.65
1142,19300910,2.37,0.51,1.48,0.99,0.23,0.25,0.28,0.5,0.26,0.2
1143,19300911,-0.94,-1.07,-0.51,-0.82,-0.24,-0.73,-0.45,-2.57,-0.69,-0.23
1144,19300912,-0.44,-1.04,-0.87,-1.24,-1.31,-0.72,-0.77,-0.53,-0.72,-0.64
1145,19300913,-0.91,-0.14,-0.44,-0.03,-0.24,-0.01,-0.19,0,-0.35,-0.1
1146,19300915,-2.82,-1.28,-0.1,-0.86,-1.11,-0.65,-1.42,-0.79,-1.16,-1.76
1147,19300916,-1.03,-0.16,-1.01,-0.72,-0.53,-0.07,-0.59,0.33,0.16,0.67
1148,19300917,0.66,0.08,0,0.04,0.3,0.14,0.18,0.45,0.41,0.12
1149,19300918,-1.39,-2.09,-1.16,-1.41,-0.35,-0.6,-0.55,-1.26,-1.06,-1.47
1150,19300919,-3.12,-1.15,-1.66,-2.03,-1.36,-0.92,-1.12,-1.49,-1.9,-2.06
1151,19300920,0.42,0,-0.2,0.42,0.16,0.08,0.09,0.67,0.26,0.12
1152,19300922,-2.79,-1.96,-3.58,-1.7,-1.77,-1.54,-2.06,-3.08,-3,-2.97
1153,19300923,0.15,-1.38,0,0.93,-0.08,0.08,1.13,1.74,1.61,1.58
1154,19300924,-3.84,-3.57,-2.08,-2.36,-0.67,-0.73,-0.87,-1.51,-1.96,-1.52
1155,19300925,-2.03,-1.44,-3.41,-2.07,-2.51,-1.9,-1.02,-1.46,-2.59,-2.28
1156,19300926,-3.74,-2.65,-2.77,-1.68,-1.29,-1.07,-1.33,-1.01,-1.75,-1.45
1157,19300927,-2.74,-2.02,-0.3,-0.82,-0.87,-0.72,-0.03,-0.78,-0.63,-0.44
1158,19300929,-3.24,-3.94,-2.17,-2.96,-2.29,-2.24,-2.56,-1.55,-1.93,-1.46
1159,19300930,-3.64,-1.94,-1.98,-2.89,-1.23,-0.97,-1.46,-1.52,-1.11,-1.55
1160,19301001,5.2,3.43,3.66,4.33,4.58,3.35,3.32,3.65,3.9,4.35
1161,19301002,-2.45,-0.91,-1.9,-0.72,-0.47,-0.49,-1.21,-0.48,-1.42,-1.98
1162,19301003,2.7,-0.13,2.13,1.13,1.33,0.69,1.43,1.42,2.08,1.13
1163,19301004,-0.01,-0.18,-0.66,-1.18,-0.25,-0.85,-0.57,-1.5,-1.18,-0.86
1164,19301006,-2.51,-2.6,-2.83,-3.42,-3.07,-2.1,-2.64,-2.53,-3.74,-3.29
1165,19301007,-2.05,-2.04,-0.46,-1.34,-0.55,0.36,0.17,-0.11,0.37,-0.8
1166,19301008,-0.08,-1.74,0.45,-0.63,-0.98,-1.28,-0.91,-0.74,-1.42,-1.37
1167,19301009,-6.81,-5.34,-3.66,-5.93,-3.53,-3.52,-3.39,-3.78,-4.08,-3.55
1168,19301010,0.52,1.4,0.14,1.96,0.9,1.39,1.73,2.6,2.82,1.44
1169,19301011,-0.59,-0.23,-0.52,-1.35,-0.59,-1.03,-1.61,-2.82,-2.79,-3.63
1170,19301014,-1.65,0.89,-0.08,-1.6,0.79,0.27,0.82,1.22,2.11,0.12
1171,19301015,3.94,3.59,2.77,2.14,1.66,1.63,1.85,1.73,1.08,2.71
1172,19301016,-0.64,-2.29,-0.66,-0.66,-0.93,-1.1,-1.28,-1.38,-1.96,-1.32
1173,19301017,-3.58,-3.78,-5.05,-4.91,-2.9,-3.3,-3,-4.34,-3.25,-3.78
1174,19301018,-2.82,-2.09,-0.87,-2.13,-1.66,-1.65,-0.56,-0.45,-1.24,-1.39
1175,19301020,2.94,2.66,2.69,2.92,2.91,1.92,2.78,2.49,3.09,4.11
1176,19301021,-1.87,-3.61,-1.72,-3.95,-2.35,-2.36,-2.32,-2.47,-2.34,-2.15
1177,19301022,-1.88,-1.19,-2.76,-1.81,-1.35,-1.04,-0.48,-0.24,-0.82,-0.63
1178,19301023,1.5,0.95,2.48,-0.39,0.45,0.2,0.47,0.36,1.53,2.13
1179,19301024,1.66,4.26,3.55,1.8,2.04,2.84,2.71,3.72,2.42,2.84
1180,19301025,-0.35,-0.93,-0.17,-0.34,0.34,-0.23,-0.24,-0.21,-0.3,-0.19
1181,19301027,0.35,-0.23,1.08,-0.33,-0.48,0.49,0.27,0.6,0.77,0.63
1182,19301028,2.04,2.65,0.07,0.78,1.77,0.68,0.68,0.51,0.33,-0.03
1183,19301029,-1.15,0.85,-2.29,-0.94,-2.16,-0.88,-1.52,-1.15,-1.37,-1.64
1184,19301030,-0.77,-1.07,-1.11,-1.1,-1.33,-0.22,-1.49,-1.16,-1.16,-1.47
1185,19301031,-2.48,-4.27,-4.26,-2.4,-1.41,-2.8,-1.91,-1.37,-1.7,-2.22
1186,19301101,-0.35,-0.03,1.14,-0.02,-0.12,0.74,0.69,0.74,-0.05,0.05
1187,19301103,-0.32,0.2,0.01,0.48,0.67,0.49,0.18,0.31,0.13,0.44
1188,19301105,-3.94,-2.73,-2.78,-2.75,-1.88,-4.06,-2.35,-2.38,-2.73,-1.93
1189,19301106,-0.16,-0.04,-0.94,0.21,0.34,-1.71,-0.33,0.38,0.02,0.35
1190,19301107,-4.73,-4.44,-5.1,-2.73,-4.45,-5.37,-2.4,-3.04,-2.44,-2.59
1191,19301108,0.96,-0.05,-2.12,-1.28,-1.35,-2.18,-1.11,-0.93,-1.53,-0.85
1192,19301110,-2.48,-2.37,-2.4,-3.56,-2.12,-2.69,-1.41,-1.93,-2.22,-1.93
1193,19301111,0.89,0.74,0.98,1.84,1.32,1.44,1.55,1.43,0.18,0.11
1194,19301112,2.58,6.25,3.33,0.09,2.43,2.3,1.16,1.8,1.52,1.22
1195,19301113,6.17,3.6,4,2.7,2.83,3.29,1.92,2.11,3.28,0.98
1196,19301114,10.66,4.59,4.59,4.6,2.34,3.97,2.3,1.68,2.19,1.82
1197,19301115,1.8,1.63,1.75,1.86,1.49,0.82,1.24,0.77,0.61,1.6
1198,19301117,-6.2,-2.91,-4.62,-3.94,-2.44,-3.71,-2.83,-2.69,-2.34,-2.05
1199,19301118,2.75,-0.72,0.5,2.33,1.62,-0.14,0.57,1.05,0.43,0.82
1200,19301119,1.79,2.36,2,1.98,2.99,2.52,1.85,1.86,1.87,1.9
1201,19301120,-1.66,-1.25,-1.18,0.41,-0.24,-0.39,-0.54,-0.12,0.05,0.24
1202,19301121,2.13,2.68,1.31,2.94,1.37,2.14,1.09,1.15,0.83,1.21
1203,19301122,-1.26,-2.09,-1.88,-1.71,0.27,-1.14,-0.76,-1.16,-0.83,-0.8
1204,19301124,1.04,-0.06,0.73,1,0.25,-0.6,0.25,-0.24,0.57,0.15
1205,19301125,-1.24,-2.1,-1.95,-1.71,-0.96,-0.96,-1.21,-0.87,-1.28,-0.43
1206,19301126,-2.76,-2.15,-1.49,-1.77,-1.86,-1.89,-1.59,-1.15,-1.18,-1.15
1207,19301128,-3.31,-2.15,-1.62,-2.1,-1.57,-1.7,-1.48,-1.14,-0.98,-0.61
1208,19301129,1.12,0.58,1.99,1.68,1.01,1.19,0.84,0.74,1.09,0.78
1209,19301201,1.6,2.18,0.96,0.41,1.68,1.44,1.54,1.51,0.9,0.77
1210,19301202,1.39,2.59,1.86,1.67,1.73,0.29,1.08,0.6,0.5,0.5
1211,19301203,-0.29,-1.9,-2.36,-2.55,-1.23,-1.12,-1.96,-0.93,-1.14,-0.58
1212,19301204,-2.66,-3.53,-2.74,-2.78,-1.93,-1.73,-1.65,-1.25,-0.92,-1.56
1213,19301205,-2.21,-0.47,0.05,-0.3,-0.33,0.33,0.33,-0.13,-0.12,0.71
1214,19301206,-1,-0.89,-1.61,-1.14,-1.91,-1.81,-1.35,-1.02,-0.75,-0.23
1215,19301208,-3.16,-2.74,-2.94,-2.26,-1.1,-1.97,-1.35,-1.37,-1.23,-0.85
1216,19301209,-0.71,-1.26,-1.86,-0.18,-1.42,-0.11,-0.26,0.31,0.15,0.35
1217,19301210,-3.61,-2.85,-3,-3.13,-3.71,-2.44,-1.4,-1.63,-1.07,-1.56
1218,19301211,-2.72,-1.84,-2.26,-0.17,-1.76,-1.01,-1.28,-0.85,-0.6,-0.57
1219,19301212,-1.62,-1.01,-0.33,-1.53,-1.72,-2.17,-0.8,-0.35,-1.11,-0.71
1220,19301213,-3.21,-4.08,-3.92,-3.23,-2.47,-2.89,-2.87,-2.7,-1.73,-1.81
1221,19301215,-4.62,-2.5,-0.19,-4.38,-1.9,-0.03,-0.35,-0.73,-0.39,0.2
1222,19301216,-9.63,-4.88,-4.68,-4.6,-4.31,-2.93,-3.71,-2.3,-3.16,-2.98
1223,19301217,7.75,5.17,6.11,5.2,6.01,4.38,4.67,3.73,2.9,3.45
1224,19301218,4.52,2.85,-0.69,1.83,1.63,1.24,1.73,1.67,0.93,1.32
1225,19301219,2.15,2.45,-0.21,1.74,1.18,2.06,1.5,1.45,0.88,0.61
1226,19301220,0.89,-0.31,2.06,1.83,0.58,0.2,-0.36,-0.19,0.07,-0.04
1227,19301222,-6.35,-5.06,-4.77,-3.93,-4.04,-3.24,-3.4,-2.85,-2.42,-3.04
1228,19301223,-4.37,-1.05,-1.43,-0.46,1.44,-0.01,1.12,0.43,0.47,0.39
1229,19301224,2.62,0.16,1.78,2.74,1.65,0.99,1.69,1.18,0.75,1.28
1230,19301226,-4.13,-3.3,-2.13,-1.35,-2.42,-2.46,-2.69,-2.01,-1.23,-1.74
1231,19301227,-1.94,-2.63,-1.64,-1.79,-0.63,0.01,-1.44,-0.09,-0.24,-0.18
1232,19301229,-2.22,-2.88,-1.9,-0.62,-2.08,-0.25,-0.09,-0.4,-0.3,0.22
1233,19301230,4.46,3.13,3.66,2.53,2.66,1.8,2.65,2.26,1.58,1.25
1234,19301231,5.76,1.73,6.73,4.07,4.32,2.44,1.04,1.64,1.11,1.26
1235,19310102,8.36,7.17,7.03,5.48,4.06,3.96,3.13,3.07,2.58,1.11
1236,19310103,7.63,4.89,3.85,2.94,1.62,2.17,1.27,1.78,1.54,1.04
1237,19310105,0.03,-1.7,-1.32,-1.54,-0.94,-0.65,-0.4,-0.97,-1.07,0.2
1238,19310106,4.9,4.73,1.01,2.1,2.53,1.58,2.85,1.3,1.13,0.29
1239,19310107,0.5,-0.08,0.89,-0.49,0,-0.03,0.56,-0.01,-0.09,0.26
1240,19310108,3.32,3.1,2.62,0.04,0.89,1.46,0.27,0.3,0.61,0.32
1241,19310109,-0.45,-0.01,-2.26,-0.31,-0.71,-1.1,-0.09,-0.5,-0.43,-0.4
1242,19310110,1.62,0.51,0.8,0.39,0.35,0.67,0.77,0.23,0.55,0.15
1243,19310112,-4.06,-1.77,-3.02,-2.17,-2.62,-2.49,-2.59,-1.51,-1.37,-0.4
1244,19310113,-2.67,-2.22,-2.43,-1.67,-1.05,-1.17,-1.12,-0.91,-0.99,-1.07
1245,19310114,0.92,1.44,2.74,1.43,1.06,-1.42,1.2,0.57,0.82,0.84
1246,19310115,-4.57,-2.7,-3.04,-2.86,-2.44,-2.21,-2.29,-2.26,-1.64,-0.9
1247,19310116,2.01,3.08,0.73,2.09,1.11,0.69,1.4,1.08,1.25,0.71
1248,19310117,-1.31,-1.28,-1.03,-0.54,-0.52,0,-0.92,-0.46,-0.29,-0.19
1249,19310119,0.16,-1.59,-1.11,-0.94,0.35,-0.71,-0.77,-0.87,-0.34,-0.53
1250,19310120,3.24,4.1,3.28,3.39,2.2,3.14,1.86,2.1,1.28,1.62
1251,19310121,0.85,-0.85,-0.61,-0.06,-0.25,0.14,0.46,-0.39,0.4,-0.24
1252,19310122,3.18,1.82,2.74,2.79,2.03,2.37,1.25,2.29,1.15,1.67
1253,19310123,2.94,3.96,2.21,3.38,3,2.89,2.29,1.85,1.14,0.45
1254,19310124,-2.25,-0.92,1.21,-1.25,-0.86,-1.01,-0.54,-0.89,-0.68,-0.71
1255,19310126,0.79,-0.13,0.04,0.74,0.15,1.26,0.37,0.52,1.1,0.73
1256,19310127,-0.19,0.91,-0.66,-0.19,0.05,-0.5,-0.24,-0.44,-0.28,-0.31
1257,19310128,-2.72,-3.3,-3.65,-2.6,-2.7,-2.71,-1.73,-1.94,-1.4,-1.3
1258,19310129,0.78,3.8,0.88,0.63,1.42,1.55,0.62,1,0.67,0.6
1259,19310130,-0.17,1.87,1.24,0.41,-0.15,0.5,0.3,0.03,0.25,0.04
1260,19310131,-1.8,-1.11,-0.82,-1.1,-1.4,-0.71,-1.02,-0.33,-0.37,-0.5
1261,19310202,1.34,0.16,1.1,0.24,0.09,0.28,0.44,0.12,0.4,0.47
1262,19310203,1.64,1.55,-0.48,0.43,0.99,0.82,0.17,0.23,0.3,0.7
1263,19310204,1.57,0.54,0.51,1.23,0.56,0.28,-0.04,0.72,0.22,0.49
1264,19310205,-1.76,-0.28,-1.52,-1.42,-1.12,-0.55,-0.38,-0.48,-0.5,-0.39
1265,19310206,0.61,1.05,1.37,0.91,0.74,0.41,0.28,0.08,0.37,0.43
1266,19310207,0.89,1.89,1.99,2.8,1.92,1.7,1.43,0.92,1.23,0.45
1267,19310209,6.63,4.01,3.87,4.42,3.13,3.41,2.73,1.75,2.04,1.17
1268,19310210,4.5,2.46,1.56,1.84,2.71,1.89,1.46,1.1,0.74,0.54
1269,19310211,0.29,3.34,0.49,1.72,0.77,0.25,2.03,-0.34,0.63,0.28
1270,19310213,0.31,-1.11,0.36,0.74,-0.83,0.18,-0.08,-0.84,-0.47,-0.6
1271,19310214,-2.45,0.89,0.02,-0.38,-0.18,-0.84,-0.03,-0.15,0.08,0.06
1272,19310216,4.55,4.09,0.96,1.99,2.1,2.13,0.77,1.02,0.71,0.86
1273,19310217,-3.58,-2.87,-0.81,-2.42,-2.07,-2.03,-1.49,-1.15,-1.43,-0.49
1274,19310218,1.11,1.07,1.87,0.97,1.77,0.86,0.27,0.72,0.46,0.38
1275,19310219,2.66,2.43,2.97,1.69,1.87,1.6,1.08,0.91,0.98,0.54
1276,19310220,5.97,2.15,3.45,2.08,2.06,1.19,1.79,1.04,1.3,0.6
1277,19310221,5.5,3.1,2.51,2.46,1.89,3.09,0.93,1.19,0.53,0.7
1278,19310224,6.06,3.18,1.44,1.78,3.07,2.16,1.36,0.43,0.64,0.04
1279,19310225,-2.33,-2.47,-2.54,0.42,-2.73,-2.13,-1.14,-0.47,-0.7,-0.47
1280,19310226,1.51,0.86,1.27,1.31,1.7,0.38,1.55,1.25,0.15,0.49
1281,19310227,-1.5,-0.86,0.27,-1.27,-0.81,-0.4,-0.61,-0.49,-0.33,-0.22
1282,19310228,1.25,-1.68,-1.37,-0.46,-0.41,-0.91,-0.56,-0.88,-0.35,-0.74
1283,19310302,-5.29,-3.21,-3.35,-2.43,-3.23,-2.72,-2.51,-2,-1.06,-1.09
1284,19310303,-3.28,-1.92,-1.38,-0.99,-0.24,0.28,-0.33,-0.05,-0.17,0.2
1285,19310304,-3.39,-1.95,-0.85,-0.82,-1.2,-0.98,-0.75,-0.9,-0.77,-0.95
1286,19310305,4.28,3.71,3.65,2.6,1.93,1.48,1.46,1.73,1.36,0.9
1287,19310306,-4.33,-3.18,-3.72,-3.17,-2.5,-2.07,-1.97,-1.21,-1.08,-1.08
1288,19310307,2.09,2.56,3.58,2.87,2.27,1.24,1.62,1.39,0.97,1.54
1289,19310309,-0.61,0.53,-0.05,0.7,1.48,-0.8,0.37,0.48,0.35,0.79
1290,19310310,-0.4,1.06,-0.71,-1.24,-0.48,0.05,-0.15,0.35,0.14,-0.04
1291,19310311,-0.11,-2.07,-0.41,-0.69,-1.73,-1.27,-1.49,-1.32,-1.19,-0.31
1292,19310312,-1.57,-1.62,-2.5,-0.89,-1.52,0.4,-0.68,-0.01,-0.09,-0.77
1293,19310313,-1.22,-0.63,-0.38,-0.46,-0.68,-1.12,-0.65,-0.7,-0.39,-0.05
1294,19310314,7.86,2.78,1.5,1.43,1.6,1.73,1.17,0.79,0.7,0.62
1295,19310316,1,1.29,2.96,1.33,1.86,1.6,1.38,0.85,0.62,1.26
1296,19310317,-1.35,-2.23,-1.15,-1.75,-1.78,-1.92,-0.98,-0.51,-0.35,-0.11
1297,19310318,0.58,0.09,1.67,1.86,1.99,1.77,0.73,0.09,1.14,0.74
1298,19310319,2.18,0.87,1.39,1.65,0.96,1.13,0.92,1.16,0.43,1.82
1299,19310320,-0.03,0.44,1.75,0.46,0.47,-0.29,0.22,0.37,-0.03,0.32
1300,19310321,0.02,0.19,-1.39,-1.12,-1.02,-1.26,-0.84,-0.6,-0.35,-0.48
1301,19310323,-0.62,-0.45,-0.75,-1.14,-0.63,-0.09,-0.23,-0.79,-0.32,-0.75
1302,19310324,-0.03,0.78,0.68,1.17,0.89,0.12,0.44,0.16,1.01,0.05
1303,19310325,-0.32,-1.19,-0.42,-1.11,-1.41,-0.49,-0.44,0.1,-0.39,0.01
1304,19310326,-1.84,-1.12,-1.07,-1.57,-1.7,-1.8,-1.33,-0.99,-1.08,-0.69
1305,19310327,-2.82,-3.13,-2.54,-2.87,-2.03,-2.06,-1.48,-1.81,-1.11,-1.29
1306,19310328,-1.98,-4.44,-3.81,-2,-2.41,-1.51,-2.14,-1.63,-1.65,-1.63
1307,19310330,-1.55,-1.1,-1.58,-1.65,-1.59,-0.76,-1.17,-1.21,-0.89,-0.46
1308,19310331,-0.23,-0.9,0.45,-0.43,-0.52,-0.04,0.66,0.3,0.35,0.87
1309,19310401,-2.29,-1.36,-2.94,-1.34,-2.04,-1.62,-0.99,-0.67,-0.52,-0.24
1310,19310402,-2.32,-1.16,-1.58,-0.62,-0.54,-0.19,-4.65,-0.42,-0.26,0.01
1311,19310404,1.98,2.79,1.52,1.58,1.55,1.45,4.96,1.17,1.22,1.34
1312,19310406,-0.31,-0.89,-1.46,-0.82,-1,-1.18,-0.68,-0.83,-0.63,-0.9
1313,19310407,-1.25,-2.09,-1.03,-0.25,-2.24,-1.18,-1.38,-1.56,-0.97,-0.33
1314,19310408,-0.5,0.59,1.97,1.99,1.41,1.37,1.14,0.97,0.69,0.91
1315,19310409,1.42,0.78,-1.34,0.05,0.5,-0.66,-0.45,-0.62,-0.54,0.23
1316,19310410,-0.85,-0.49,0.7,0.24,-0.2,-0.19,0.34,-0.02,0.37,0.56
1317,19310411,-0.35,1.18,-0.11,-0.3,0.42,0.36,-0.15,-0.03,0.15,0.12
1318,19310413,1.82,0.97,3.38,1.38,0.43,1.03,0.96,1.09,1.22,1.23
1319,19310414,-2.14,-1.62,-2.43,-1.66,-2.21,-0.69,-0.79,-0.69,-0.9,-0.12
1320,19310415,-2.88,-2.37,-0.89,-2.77,-1.81,-2.3,-2.42,-1.52,-1.24,-1.88
1321,19310416,-2.21,-0.95,-1.66,-0.15,-0.91,-1.83,-0.86,-0.81,-1.53,-1.01
1322,19310417,-3.26,-3.04,-0.89,-2.31,-0.72,-2.16,-1.64,-1.48,-1.26,-1.63
1323,19310418,0.88,-1.1,1.16,0.52,0.73,0.43,0.98,0.88,0.68,0.96
1324,19310420,-0.92,-0.48,-0.35,-1.2,-0.05,0.72,0.08,0.5,1.08,1.48
1325,19310421,-2.52,-3.47,-2.57,-2.78,-2.45,-1.68,-2.22,-2.3,-2.01,-2.42
1326,19310422,-2.97,-1.31,-2.01,-2.29,-2.26,-1.51,-1.38,-1.02,-2.41,-1.73
1327,19310423,-3.15,-1.78,-0.3,0.19,0.19,0.41,0.32,-0.01,-0.05,-0.18
1328,19310424,-0.92,-1.04,-2.39,-1.62,-0.71,0.24,0.22,-0.02,0.76,0.79
1329,19310425,-2.73,-2.45,-1.8,-2.67,-1.29,-2.21,-1.86,-1.44,-1.7,-1.84
1330,19310427,-4.06,-2.81,-3.67,-2.77,-1.47,-2.19,-1.32,-0.6,-1.46,-0.9
1331,19310428,0.74,-1.8,-1.65,0.32,0.09,-1.56,-0.65,-0.43,-1.32,-0.77
1332,19310429,-3.35,-1.52,-2.09,-1.76,-1.76,-1.4,-2.01,-2.15,-1.68,-1.99
1333,19310430,8.02,4.66,7.31,4.16,5.12,5.37,4.51,4.13,3.39,6.5
1334,19310501,-3.61,-0.47,-3.7,-3.33,-2.13,-2.49,-2.61,-1.97,-1.76,-1.81
1335,19310502,-0.19,1.15,0.98,1.79,0.67,1.2,-0.14,0.7,0.05,1.86
1336,19310504,1.63,-1.23,1.91,0.93,1.25,1.67,1.5,1.62,1.21,2.22
1337,19310505,-2,1.01,-0.45,-1.07,-0.6,-0.43,-0.4,-1.08,-0.15,-0.54
1338,19310506,-2.51,-2.17,0.22,0.29,0.72,-0.47,0.21,0.13,0.24,0.43
1339,19310507,-1.99,1.05,-1.55,-1.27,-0.22,-0.44,-1.22,-0.23,-0.03,1.41
1340,19310508,4.88,2.25,4.46,3.22,2.36,3.18,2.07,2.37,2.76,3.38
1341,19310509,-2.67,-0.21,-2.22,-2.22,-0.93,-1.33,-0.97,-1.06,-0.73,-1.02
1342,19310511,-1.31,-0.65,0.23,-1.62,-0.16,-0.75,0.09,0.39,-0.15,0.78
1343,19310512,-1.23,-0.35,-1.86,-0.56,-0.89,-0.73,-1.26,-0.89,-0.35,-1.32
1344,19310513,1.01,-0.96,-0.76,-0.63,-0.51,-0.22,-0.28,-0.37,-0.62,0.23
1345,19310514,-3.39,-3.7,-2.88,-2.63,-1.98,-2.37,-2.62,-2.91,-1.13,-1.74
1346,19310515,-1.56,-2.21,-0.52,-0.01,-1.6,-1.84,-1.48,-0.82,-0.68,-1.68
1347,19310516,0.35,-0.53,-0.21,0.39,-1.04,-0.22,-0.66,-0.84,-0.42,-0.13
1348,19310518,-4.48,-4.38,-4.31,-3.21,-3.16,-2.62,-3.67,-2.75,-3.59,-3.34
1349,19310519,-2.11,-2.12,2.03,-1.27,0.21,-0.45,-0.5,0.06,0.05,-2.41
1350,19310520,0.61,0,0.08,-1.4,-0.65,-0.08,0.62,-0.63,-1.38,0.35
1351,19310521,0.53,2.6,1.32,0.4,0.81,0.81,1.68,1.1,0.89,0.67
1352,19310522,0.25,0.46,1.09,0.01,0.27,0.65,-0.13,0.05,0.51,0.85
1353,19310523,-1.06,-0.24,-1.02,-0.76,-0.69,-0.9,-0.39,-0.65,-0.85,-0.63
1354,19310525,-2.71,-5.96,-3.73,-2.8,-1.5,-2.67,-3.62,-2.42,-2.64,-3.72
1355,19310526,-0.36,-0.43,-0.32,-0.15,-0.2,-0.89,-0.45,-0.17,0.56,-0.57
1356,19310527,-2,-1.89,-3.66,-2.19,-2.01,-0.42,-1.21,-3.65,-1.02,0.36
1357,19310528,1.27,-0.06,0.67,-0.12,0.57,-0.9,-0.01,3.51,0.69,0.01
1358,19310529,-1.84,0.52,-1.78,-2.09,-2.12,-2.2,-1.7,-1.84,-2.53,-1.96
1359,19310601,-5.95,-7.23,-5.04,-4.4,-4.99,-5.13,-4.37,-3.76,-3.97,-4.53
1360,19310602,-4.94,-4.12,-1.15,-3.83,-2.1,-1.61,-1.85,-0.88,-0.37,-0.48
1361,19310603,6.94,4.67,8.77,8.06,7.85,5.95,7.12,5.23,5.9,7.07
1362,19310604,7.39,4.48,5.22,5.18,2.58,4.66,4.64,3.35,2.69,2.12
1363,19310605,0.62,2.34,-2.07,-1.04,-0.51,-0.34,0.35,0.07,-0.82,-0.98
1364,19310606,-2.64,-1.96,-2.82,-2.98,-2.66,-2.93,-3.04,-2.25,-1.77,-2
1365,19310608,5.88,2.5,5.79,5.7,3.71,3.55,2.49,1.53,2.23,3.08
1366,19310609,1.82,-0.29,-3,-1.6,-0.71,-1.59,-0.77,-1.18,-1.35,-1.88
1367,19310610,2.36,0.36,1.39,2.35,2.68,2.26,2.01,2.44,1.84,2.46
1368,19310611,1.74,-0.37,1.74,-0.09,1.16,-0.01,1.9,0.92,0.3,-0.3
1369,19310612,0.92,0.33,-1.95,0.49,0.38,0.88,1.18,0.54,-0.02,0.52
1370,19310613,0.06,-1.24,0.07,0.63,0.38,-0.66,-0.07,-0.41,-0.24,0.07
1371,19310615,-1.08,0.8,-1.6,-0.94,-0.73,-1.45,-0.77,-0.56,-0.1,-0.31
1372,19310616,-0.1,0.42,0.09,0.06,0.61,0.49,-0.25,0.01,0.29,-0.04
1373,19310617,-1.26,-1.11,-1.2,-1.6,-1.85,-1.08,-0.81,-0.9,-0.55,-0.58
1374,19310618,-3.12,-4.46,-2.01,-2.45,-2.03,-1.49,-1.92,-0.88,-1.39,-1.07
1375,19310619,1.96,-0.29,1.02,0.18,-0.59,0.73,-1.31,-0.54,-0.58,0.01
1376,19310620,3.74,7.96,5.53,6.27,7.66,5.54,5.42,3.85,4.65,2.98
1377,19310622,9.47,7.84,5.65,5.21,7.09,3.86,4.03,3.71,3.15,1.43
1378,19310623,1.25,0.18,1.01,-1.22,0.12,-1.78,-1.89,0.07,-1.28,-0.56
1379,19310624,6.72,11.83,5.96,5.46,6.63,4.64,3.57,2.75,3.38,2.52
1380,19310625,-0.29,-2.48,0.02,-1.12,0.13,-1.03,-0.54,-0.76,-0.48,-0.54
1381,19310626,4.31,4.91,4.53,2.69,3.76,3.06,3.3,2.35,1.5,1.21
1382,19310627,1.81,2.68,1.89,0.72,0.94,1.86,1.13,0.73,0.59,0.55
1383,19310629,-2.47,-3.98,-3.71,-2.61,-3.54,-2.7,-2.51,-1.82,-1.8,-1.27
1384,19310630,-2.67,-3,-2.19,-2.73,-2.74,-1.54,-1.52,-1.45,-0.98,-0.83
1385,19310701,0.28,2.21,3.29,1.09,2.16,1.16,0.94,0.89,0.67,1.19
1386,19310702,-0.24,-1.43,-0.95,-1.16,-0.45,-1.24,-0.57,-0.22,-0.28,-0.56
1387,19310703,3.52,4.59,2.53,2.7,1.95,2.36,1.81,1.27,1.77,1.08
1388,19310706,-2.26,-2.19,-1.84,-1.18,-1.42,-1.07,-0.74,-1.05,-0.99,-0.64
